,src,dst,ts,label,idx
379,24898,32522,31.0,1.0,379
380,24898,37869,31.0,1.0,380
361,3653,32325,31.0,1.0,361
371,24898,32326,31.0,1.0,371
360,23370,3653,31.0,0.0,360
373,24898,32521,31.0,1.0,373
358,23370,3653,31.0,0.0,358
359,15188,3653,31.0,1.0,359
339,3222,3175,31.0,0.0,339
340,3223,3175,31.0,0.0,340
341,15187,15188,31.0,0.0,341
342,15188,32522,31.0,1.0,342
343,15188,1390,31.0,1.0,343
345,15188,1390,31.0,1.0,345
346,15188,1390,31.0,1.0,346
347,15188,1390,31.0,1.0,347
344,15188,32522,31.0,1.0,344
349,15188,1390,31.0,1.0,349
357,15187,3653,31.0,0.0,357
348,15188,1390,31.0,1.0,348
355,15187,3653,31.0,0.0,355
354,15187,3653,31.0,0.0,354
353,23369,3653,31.0,0.0,353
356,3653,32522,31.0,1.0,356
351,15188,1390,31.0,1.0,351
350,1390,15188,31.0,0.0,350
352,15188,3653,31.0,1.0,352
446,23385,3653,32.0,0.0,446
454,23393,3653,32.0,0.0,454
453,23392,3653,32.0,0.0,453
452,23391,3653,32.0,0.0,452
451,23390,3653,32.0,0.0,451
450,23389,3653,32.0,0.0,450
449,23388,3653,32.0,0.0,449
448,23387,3653,32.0,0.0,448
447,23386,3653,32.0,0.0,447
445,23384,3653,32.0,0.0,445
435,1421,3653,32.0,0.0,435
443,23382,3653,32.0,0.0,443
442,23381,3653,32.0,0.0,442
441,23380,3653,32.0,0.0,441
440,23379,3653,32.0,0.0,440
439,23378,3653,32.0,0.0,439
438,23378,3653,32.0,0.0,438
437,23377,3653,32.0,0.0,437
436,23376,3653,32.0,0.0,436
481,27443,27440,32.0,0.0,481
434,15188,3653,32.0,1.0,434
433,3653,32333,32.0,1.0,433
444,23383,3653,32.0,0.0,444
456,23395,3653,32.0,0.0,456
466,3653,32618,32.0,1.0,466
458,3653,32331,32.0,1.0,458
432,3653,32522,32.0,1.0,432
480,27442,27440,32.0,0.0,480
479,27440,27442,32.0,1.0,479
478,27441,27440,32.0,0.0,478
477,27440,27441,32.0,1.0,477
476,27440,38337,32.0,1.0,476
475,27439,27440,32.0,0.0,475
474,3653,3651,32.0,1.0,474
473,119,3653,32.0,0.0,473
472,15188,3653,32.0,1.0,472
457,23396,3653,32.0,0.0,457
471,104,3653,32.0,0.0,471
469,104,3653,32.0,0.0,469
468,3653,32618,32.0,1.0,468
467,3653,32618,32.0,1.0,467
465,3653,32618,32.0,1.0,465
464,3653,32522,32.0,1.0,464
463,23398,3653,32.0,0.0,463
462,3653,32331,32.0,1.0,462
461,3653,32331,32.0,1.0,461
460,23397,3653,32.0,0.0,460
459,3653,32331,32.0,1.0,459
470,104,3653,32.0,0.0,470
431,23374,3653,32.0,0.0,431
455,23394,3653,32.0,0.0,455
429,23374,3653,32.0,0.0,429
402,3651,33984,32.0,0.0,402
401,3651,33984,32.0,0.0,401
400,3651,33984,32.0,0.0,400
399,3651,33984,32.0,0.0,399
398,3651,33984,32.0,0.0,398
397,3651,33984,32.0,0.0,397
396,3653,3651,32.0,1.0,396
395,3652,3651,32.0,0.0,395
394,3651,33984,32.0,0.0,394
393,3651,33984,32.0,0.0,393
403,3651,33986,32.0,0.0,403
391,3651,32333,32.0,0.0,391
389,3651,32332,32.0,0.0,389
388,3651,33984,32.0,0.0,388
387,3651,32625,32.0,0.0,387
386,3652,3651,32.0,0.0,386
385,3652,3651,32.0,0.0,385
384,3223,3175,32.0,0.0,384
383,3175,33499,32.0,1.0,383
382,3175,33498,32.0,1.0,382
381,221,3175,32.0,0.0,381
430,23375,3653,32.0,0.0,430
390,3651,32522,32.0,0.0,390
404,3651,33984,32.0,0.0,404
392,3651,33984,32.0,0.0,392
406,3651,33984,32.0,0.0,406
428,23373,3653,32.0,0.0,428
405,3651,33984,32.0,0.0,405
427,23372,3653,32.0,0.0,427
426,23372,3653,32.0,0.0,426
425,23371,3653,32.0,0.0,425
424,21335,37108,32.0,1.0,424
423,21334,21335,32.0,0.0,423
421,15188,1390,32.0,1.0,421
420,1390,15188,32.0,0.0,420
419,15188,1390,32.0,1.0,419
418,15188,1390,32.0,1.0,418
422,15188,3653,32.0,1.0,422
416,1390,15188,32.0,0.0,416
415,15188,1390,32.0,1.0,415
414,15188,1390,32.0,1.0,414
413,15188,1390,32.0,1.0,413
412,3652,15188,32.0,0.0,412
411,5762,34454,32.0,1.0,411
410,3651,33987,32.0,0.0,410
409,3651,33984,32.0,0.0,409
417,15188,3653,32.0,1.0,417
408,3651,33984,32.0,0.0,408
407,3651,33984,32.0,0.0,407
625,15188,1390,33.0,1.0,625
633,15188,32522,33.0,1.0,633
632,15188,1390,33.0,1.0,632
631,15188,3653,33.0,1.0,631
630,1390,15188,33.0,0.0,630
626,15188,3653,33.0,1.0,626
628,15188,1390,33.0,1.0,628
627,15188,1390,33.0,1.0,627
634,15188,1390,33.0,1.0,634
629,15188,1390,33.0,1.0,629
635,15188,1390,33.0,1.0,635
648,15188,3653,33.0,1.0,648
637,15188,1390,33.0,1.0,637
638,15188,1390,33.0,1.0,638
639,15188,1390,33.0,1.0,639
640,15188,1390,33.0,1.0,640
641,15188,1390,33.0,1.0,641
642,15188,1390,33.0,1.0,642
643,15188,1390,33.0,1.0,643
644,1390,15188,33.0,0.0,644
646,23399,3653,33.0,0.0,646
647,3653,32522,33.0,1.0,647
649,3653,33028,33.0,1.0,649
624,1390,15188,33.0,0.0,624
636,15188,1390,33.0,1.0,636
623,15188,1390,33.0,1.0,623
599,15188,1390,33.0,1.0,599
621,15188,1390,33.0,1.0,621
596,15188,1390,33.0,1.0,596
597,1390,15188,33.0,0.0,597
598,15188,3653,33.0,1.0,598
650,104,3653,33.0,0.0,650
600,15188,1390,33.0,1.0,600
601,15188,1390,33.0,1.0,601
602,15188,1390,33.0,1.0,602
603,15188,1390,33.0,1.0,603
604,15188,1390,33.0,1.0,604
605,15188,1390,33.0,1.0,605
606,15188,1390,33.0,1.0,606
607,15188,1390,33.0,1.0,607
608,15188,1390,33.0,1.0,608
609,15188,1390,33.0,1.0,609
610,15188,1390,33.0,1.0,610
611,15188,1390,33.0,1.0,611
612,15188,1390,33.0,1.0,612
613,15188,1390,33.0,1.0,613
614,15188,1390,33.0,1.0,614
615,15188,1390,33.0,1.0,615
616,15188,1390,33.0,1.0,616
617,15188,1390,33.0,1.0,617
618,1390,15188,33.0,0.0,618
619,15188,1390,33.0,1.0,619
620,15188,1390,33.0,1.0,620
622,15188,1390,33.0,1.0,622
651,23400,3653,33.0,0.0,651
676,15188,3653,33.0,1.0,676
653,23402,3653,33.0,0.0,653
684,15188,3653,33.0,1.0,684
685,15188,3653,33.0,1.0,685
686,23418,3653,33.0,0.0,686
687,3653,32522,33.0,1.0,687
688,15188,3653,33.0,1.0,688
689,24898,32325,33.0,1.0,689
690,24898,32331,33.0,1.0,690
691,24898,32335,33.0,1.0,691
692,24898,36464,33.0,1.0,692
693,24898,32327,33.0,1.0,693
694,24898,32332,33.0,1.0,694
683,15188,3653,33.0,1.0,683
695,24898,34420,33.0,1.0,695
697,24898,32336,33.0,1.0,697
698,24898,33028,33.0,1.0,698
699,24898,32515,33.0,1.0,699
700,24898,32470,33.0,1.0,700
701,24898,32334,33.0,1.0,701
702,24898,32636,33.0,1.0,702
703,24898,32624,33.0,1.0,703
704,24898,32324,33.0,1.0,704
705,24898,32629,33.0,1.0,705
706,24898,33984,33.0,1.0,706
595,15188,1390,33.0,1.0,595
696,24898,32627,33.0,1.0,696
682,15188,3653,33.0,1.0,682
681,15188,3653,33.0,1.0,681
680,15188,3653,33.0,1.0,680
654,23403,3653,33.0,0.0,654
655,23404,3653,33.0,0.0,655
656,23405,3653,33.0,0.0,656
657,23406,3653,33.0,0.0,657
658,23407,3653,33.0,0.0,658
659,23408,3653,33.0,0.0,659
660,23408,3653,33.0,0.0,660
661,23409,3653,33.0,0.0,661
662,23410,3653,33.0,0.0,662
663,23410,3653,33.0,0.0,663
664,23411,3653,33.0,0.0,664
665,23412,3653,33.0,0.0,665
666,23391,3653,33.0,0.0,666
667,23413,3653,33.0,0.0,667
668,23414,3653,33.0,0.0,668
669,23415,3653,33.0,0.0,669
670,23416,3653,33.0,0.0,670
671,23417,3653,33.0,0.0,671
672,3653,32522,33.0,1.0,672
673,15188,3653,33.0,1.0,673
674,15188,3653,33.0,1.0,674
675,15188,3653,33.0,1.0,675
677,15188,3653,33.0,1.0,677
678,15188,3653,33.0,1.0,678
679,15188,3653,33.0,1.0,679
652,23401,3653,33.0,0.0,652
594,15188,1390,33.0,1.0,594
645,15188,3653,33.0,1.0,645
592,15188,1390,33.0,1.0,592
511,15188,1390,33.0,1.0,511
512,15188,1390,33.0,1.0,512
513,15188,1390,33.0,1.0,513
515,15188,1390,33.0,1.0,515
516,15188,1390,33.0,1.0,516
517,15188,1390,33.0,1.0,517
518,1390,15188,33.0,0.0,518
519,15188,1390,33.0,1.0,519
520,15188,1390,33.0,1.0,520
521,15188,1390,33.0,1.0,521
522,15188,1390,33.0,1.0,522
510,15188,1390,33.0,1.0,510
523,15188,1390,33.0,1.0,523
525,15188,1390,33.0,1.0,525
526,15188,1390,33.0,1.0,526
527,1390,15188,33.0,0.0,527
528,1390,15188,33.0,0.0,528
529,15188,1390,33.0,1.0,529
530,15188,1390,33.0,1.0,530
531,15188,3653,33.0,1.0,531
532,15188,3653,33.0,1.0,532
533,15188,32522,33.0,1.0,533
534,15188,1390,33.0,1.0,534
535,15188,1390,33.0,1.0,535
524,15188,1390,33.0,1.0,524
509,1390,15188,33.0,0.0,509
508,15188,1390,33.0,1.0,508
507,15188,32522,33.0,1.0,507
482,3224,3175,33.0,0.0,482
483,3175,33500,33.0,1.0,483
484,3651,33984,33.0,0.0,484
485,3651,33984,33.0,0.0,485
486,3651,33984,33.0,0.0,486
487,3651,33984,33.0,0.0,487
488,3651,33986,33.0,0.0,488
489,3651,32312,33.0,0.0,489
490,3651,33988,33.0,0.0,490
491,5762,34454,33.0,1.0,491
492,3270,5762,33.0,0.0,492
493,5761,5762,33.0,0.0,493
494,5761,5762,33.0,0.0,494
495,15188,1390,33.0,1.0,495
496,15188,32522,33.0,1.0,496
497,15188,1390,33.0,1.0,497
498,15188,1390,33.0,1.0,498
499,15188,1390,33.0,1.0,499
500,15188,1390,33.0,1.0,500
501,1390,15188,33.0,0.0,501
502,15188,3653,33.0,1.0,502
503,15188,32522,33.0,1.0,503
504,15188,1390,33.0,1.0,504
505,15188,1390,33.0,1.0,505
506,15188,1390,33.0,1.0,506
536,15188,3653,33.0,1.0,536
537,15188,1390,33.0,1.0,537
514,15188,1390,33.0,1.0,514
539,1390,15188,33.0,0.0,539
567,15188,1390,33.0,1.0,567
568,1390,15188,33.0,0.0,568
569,15188,1390,33.0,1.0,569
570,15188,1390,33.0,1.0,570
571,15188,3653,33.0,1.0,571
572,15188,1390,33.0,1.0,572
573,1390,15188,33.0,0.0,573
574,15188,1390,33.0,1.0,574
575,15188,1390,33.0,1.0,575
576,15188,32522,33.0,1.0,576
577,15188,3653,33.0,1.0,577
578,15188,1390,33.0,1.0,578
579,15188,1390,33.0,1.0,579
580,15188,1390,33.0,1.0,580
581,15188,1390,33.0,1.0,581
582,15188,1390,33.0,1.0,582
583,15188,1390,33.0,1.0,583
584,15188,1390,33.0,1.0,584
585,1390,15188,33.0,0.0,585
586,15188,1390,33.0,1.0,586
538,15188,1390,33.0,1.0,538
588,15188,32522,33.0,1.0,588
589,15188,1390,33.0,1.0,589
590,15188,3653,33.0,1.0,590
591,1390,15188,33.0,0.0,591
566,15188,32522,33.0,1.0,566
565,15188,1390,33.0,1.0,565
587,15188,1390,33.0,1.0,587
563,15188,1390,33.0,1.0,563
564,15188,3653,33.0,1.0,564
540,15188,1390,33.0,1.0,540
541,15188,1390,33.0,1.0,541
593,15188,1390,33.0,1.0,593
543,15188,1390,33.0,1.0,543
544,15188,1390,33.0,1.0,544
545,15188,3653,33.0,1.0,545
546,15188,1390,33.0,1.0,546
547,15188,1390,33.0,1.0,547
548,15188,1390,33.0,1.0,548
549,15188,3653,33.0,1.0,549
550,15188,3653,33.0,1.0,550
542,15188,1390,33.0,1.0,542
552,15188,1390,33.0,1.0,552
551,1390,15188,33.0,0.0,551
561,15188,1390,33.0,1.0,561
559,15188,1390,33.0,1.0,559
558,15188,1390,33.0,1.0,558
560,15188,1390,33.0,1.0,560
556,15188,1390,33.0,1.0,556
555,1390,15188,33.0,0.0,555
554,15188,1390,33.0,1.0,554
553,15188,1390,33.0,1.0,553
557,15188,1390,33.0,1.0,557
562,15188,1390,33.0,1.0,562
776,3653,32333,34.0,1.0,776
775,3653,32312,34.0,1.0,775
767,3653,35028,34.0,1.0,767
774,3653,34420,34.0,1.0,774
773,3653,33988,34.0,1.0,773
772,3653,32332,34.0,1.0,772
770,3653,32327,34.0,1.0,770
769,3653,36464,34.0,1.0,769
768,3653,32329,34.0,1.0,768
761,3653,15189,34.0,1.0,761
765,3653,32325,34.0,1.0,765
764,3653,32326,34.0,1.0,764
763,3653,32331,34.0,1.0,763
762,3653,32314,34.0,1.0,762
760,3653,32637,34.0,1.0,760
759,3653,35976,34.0,1.0,759
758,3653,32324,34.0,1.0,758
757,3653,32330,34.0,1.0,757
777,3653,33984,34.0,1.0,777
756,3653,32636,34.0,1.0,756
766,3653,32335,34.0,1.0,766
778,3653,32521,34.0,1.0,778
791,3653,32328,34.0,1.0,791
780,3653,32374,34.0,1.0,780
755,3653,36707,34.0,1.0,755
801,3653,32522,34.0,1.0,801
800,3654,3653,34.0,1.0,800
799,3653,15189,34.0,1.0,799
798,3653,32629,34.0,1.0,798
797,3653,35976,34.0,1.0,797
796,3653,32637,34.0,1.0,796
795,3653,32624,34.0,1.0,795
794,3653,32324,34.0,1.0,794
793,3653,32625,34.0,1.0,793
792,3653,32330,34.0,1.0,792
790,3653,32636,34.0,1.0,790
789,3653,36707,34.0,1.0,789
788,3653,32515,34.0,1.0,788
787,3653,32483,34.0,1.0,787
786,3653,32334,34.0,1.0,786
785,3653,34456,34.0,1.0,785
784,3653,33028,34.0,1.0,784
783,3653,32877,34.0,1.0,783
782,3653,32336,34.0,1.0,782
781,3653,32627,34.0,1.0,781
779,3653,32622,34.0,1.0,779
754,3653,32483,34.0,1.0,754
771,3653,33377,34.0,1.0,771
752,3653,32515,34.0,1.0,752
727,3653,32331,34.0,1.0,727
726,3653,32314,34.0,1.0,726
725,3653,3654,34.0,1.0,725
724,23421,3653,34.0,0.0,724
723,22051,3653,34.0,0.0,723
722,22051,3653,34.0,0.0,722
721,22051,3653,34.0,0.0,721
720,23420,3653,34.0,0.0,720
719,23419,3653,34.0,0.0,719
718,3654,3653,34.0,1.0,718
717,3653,3654,34.0,1.0,717
716,15189,32329,34.0,0.0,716
715,15189,32325,34.0,0.0,715
714,15189,37171,34.0,0.0,714
712,3653,15189,34.0,1.0,712
711,15188,1390,34.0,1.0,711
710,15188,32522,34.0,1.0,710
709,15102,36270,34.0,1.0,709
708,5761,5762,34.0,0.0,708
707,138,3175,34.0,0.0,707
753,3653,32334,34.0,1.0,753
